nombre;central;tecnologia_etiqueta;nombre_agente;tecnologia;tecnologia_maquinas;potencia_instalada_mw;provincia;departamento;aglomeracion;sistema;pah;id_renovar;resolucion_renovables;fuente;geojson;Logitud;Latitud
EL TUNAL;TUNAHI;Hidroeléctrica (Menor a 50 Mw);AES JURAMENTO;HI<50;HIDRAULICA <=50;10.52;SALTA;Anta;;Interconectado MEM;Si;SPT-PAH-17;;cammesa;"{""type"":""Point"",""coordinates"":[-64.4764305162525,-25.2270322367122]}";-644.764.305.162.525;-252.270.322.367.122
CABRA CORRAL;CCORHI;Hidroeléctrica;AES JURAMENTO;HI>50;TURB HIDRAULICA;100.5;SALTA;La Viña;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.3299990930871,-25.2719800355696]}";-653.299.990.930.871;-252.719.800.355.696
CORRALITO;;Hidroeléctrica (Menor a 50 Mw);;HI;;;SALTA;Rosario de Lerma;;Interconectada no MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.6865271439023,-24.9830340962408]}";-656.865.271.439.023;-249.830.340.962.408
LOS MADERAS;LMADHI;Hidroeléctrica (Menor a 50 Mw);HIDROELECTRICA LAS MADERAS;HI<50;HIDRAULICA <=50;30.6;JUJUY;El Carmen;;Interconectado MEM;Si;SPT-PAH-08;;cammesa;"{""type"":""Point"",""coordinates"":[-65.2197364983929,-24.4441987192434]}";-652.197.364.983.929;-244.441.987.192.434
RIO REYES;RREYHI;Hidroeléctrica (Menor a 50 Mw);HIDROELECTRICA REYES EJSEDSA;HI<50;HIDRAULICA <=50;7;JUJUY;Dr. Manuel Belgrano;;Interconectado MEM;Si;SPT-PAH-09;;cammesa;"{""type"":""Point"",""coordinates"":[-65.4916348832363,-24.1694839121159]}";-654.916.348.832.363;-241.694.839.121.159
TERMOANDES;TAND;Térmica;C.T. SALTA (TERMOANDES);CC;TURBO GAS - TURBO VAPOR;642.7;SALTA;General Güemes;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.0519013958739,-24.7437960153283]}";-650.519.013.958.739;-247.437.960.153.283
GUEMES;GUEM;Térmica;C.TERMICA GUEMES S.A. - PAMPA ENERGIA SA;TG,TV;TURBO GAS - TURBO VAPOR;361;SALTA;General Güemes;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.0417211063505,-24.6892695418247]}";-650.417.211.063.505;-246.892.695.418.247
SMARTIN TABACAL;TABA;Biomasa;Ingenio y Ref.S.Martin Tabacal;BIOM;BIOMASA;;SALTA;Orán;;Interconectado MEM;;GEN-BM-01;;cammesa;"{""type"":""Point"",""coordinates"":[-64.2410968154746,-23.2537605221984]}";-642.410.968.154.746;-232.537.605.221.984
LEDESMA;LEDE;Térmica;LEDESMA SAAI;TV;TURBO VAPOR;;JUJUY;Ledesma;CIUDAD DEL LIB. GRAL SAN MARTIN;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.7933588752294,-23.8271582492634]}";-647.933.588.752.294;-238.271.582.492.634
ORAN ENARSA;ORAD;Térmica;CT ORAN - SECCO;DI;MOTOR DIESEL;15;SALTA;Orán;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.2992618436917,-23.1351672737403]}";-642.992.618.436.917;-231.351.672.737.403
PIQUIRENDA;PIQI;Térmica;CENTRAL TERMICA PIQUIRENDA;DI;MOTOR DIESEL;30.4;SALTA;General José de San Martín;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-63.7666549019036,-22.349970943658]}";-637.666.549.019.036;-22.349.970.943.658
CADILLAL;CADIHI;Hidroeléctrica (Menor a 50 Mw);HIDROELECTRICA TUCUMAN SA;HI<50;HIDRAULICA <=50;12.6;TUCUMAN;Tafí Viejo;;Interconectado MEM;Si;SPT-PAH-24;;cammesa;"{""type"":""Point"",""coordinates"":[-65.1868321876443,-26.6200499831072]}";-651.868.321.876.443;-266.200.499.831.072
INDEPENDENCIA;INDE;Térmica;GENERACION INDEPENDENCIA S.A.;TG;TURBO GAS;120;TUCUMAN;Capital;GRAN SAN MIGUEL DE TUCUMÁN;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.223019394741,-26.8667943339862]}";-65.223.019.394.741;-268.667.943.339.862
PUEBLO VIEJO;PVIEHI;Hidroeléctrica (Menor a 50 Mw);HIDROELECTRICA TUCUMAN SA;HI<50;HIDRAULICA <=50;15;TUCUMAN;Monteros;;Interconectado MEM;Si;SPT-PAH-26;;cammesa;"{""type"":""Point"",""coordinates"":[-65.752010409261,-27.1448816637494]}";-65.752.010.409.261;-271.448.816.637.494
TINOGASTA ENARS;TINO;Térmica;CT TINOGASTA - SULLAIR;DI;MOTOR DIESEL;15;CATAMARCA;Tinogasta;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-67.5663147800987,-28.0484120314732]}";-675.663.147.800.987;-280.484.120.314.732
ING.STA.BARBARA;ISBA;Biomasa;AZUCARERA JUAN M.TERAN SA;BIOM;BIOMASA;;TUCUMAN;Río Chico;VILLA CLODOMIRO HILERET;Interconectado MEM;;GEN-BM-02;;cammesa;"{""type"":""Point"",""coordinates"":[-65.6537413049569,-27.464838858915]}";-656.537.413.049.569;-27.464.838.858.915
PLUSPETROL NORT;PPNO;Térmica;GENERADORA ELEC.TUCUMAN SA;TG;TURBO GAS;232;TUCUMAN;Cruz Alta;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.1614225417492,-26.995485328767]}";-651.614.225.417.492;-26.995.485.328.767
LA PROVIDENCIA;PROV;Biomasa;ARCOR ING.LA PROVIDENCIA;BIOM;BIOMASA;;TUCUMAN;Monteros;;Interconectado MEM;;SPT-BM-02;;cammesa;"{""type"":""Point"",""coordinates"":[-65.5678321992731,-27.2645320110401]}";-655.678.321.992.731;-272.645.320.110.401
C.T. TUCUMAN;TUCU;Térmica;CT TUCUMAN;CC;TURBO GAS - TURBO VAPOR;447;TUCUMAN;Cruz Alta;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.168080226001,-26.9973386893061]}";-65.168.080.226.001;-269.973.386.893.061
S.M. DE TUCUMAN;SMTU;Térmica;CT SAN MIGUEL DE TUCUMAN;CC;TURBO GAS - TURBO VAPOR;382;TUCUMAN;Cruz Alta;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.1684229506897,-26.9934191039549]}";-651.684.229.506.897;-269.934.191.039.549
ESCABA;ESCAHI;Hidroeléctrica (Menor a 50 Mw);HIDROELECTRICA TUCUMAN SA;HI<50;HIDRAULICA <=50;24;TUCUMAN;Juan Bautista Alberdi;;Interconectado MEM;Si;SPT-PAH-25;;cammesa;"{""type"":""Point"",""coordinates"":[-65.7476240307624,-27.6371807728526]}";-657.476.240.307.624;-276.371.807.728.526
ARAUCO EOLICO;ARAUEO;Eólica;PARQUE EOLICO ARAUCO SAPEM;EOL;EOLICA;25.2;LA RIOJA;Arauco;;Interconectado MEM;;108-EOL-04;;cammesa;"{""type"":""Point"",""coordinates"":[-66.7520404729973,-28.7019386324684]}";-667.520.404.729.973;-287.019.386.324.684
TEREVINTOS ENAR;TERV;Térmica;CT TEREVINTOS - SECCO;DI;MOTOR DIESEL;8;CATAMARCA;Capital;GRAN SAN FERNANDO DEL VALLE DE CATAMARCA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.7875500263406,-28.4286585836683]}";-657.875.500.263.406;-284.286.585.836.683
P.IND.CAT ENARS;PICA;Térmica;CT PARQUE INDUSTR.CATAM-SECCO;DI;MOTOR DIESEL;15;CATAMARCA;Capital;GRAN SAN FERNANDO DEL VALLE DE CATAMARCA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.8001164819123,-28.5337823338873]}";-658.001.164.819.123;-285.337.823.338.873
INTA CATAM ENAR;INTA;Térmica;CT INTA CATAMARCA - SECCO;DI;MOTOR DIESEL;7;CATAMARCA;Valle Viejo;GRAN SAN FERNANDO DEL VALLE DE CATAMARCA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.7276223809196,-28.4735996503173]}";-657.276.223.809.196;-284.735.996.503.173
FRIAS;FRIA;Térmica;GENERACION FRIAS S.A.;TG;TURBO GAS;60;SANTIAGO DEL ESTERO;Choya;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.1226269171479,-28.6071696566615]}";-651.226.269.171.479;-286.071.696.566.615
RIO HONDO;RHONHI;Hidroeléctrica (Menor a 50 Mw);HIDROELECTRICA RIO HONDO SA;HI<50;HIDRAULICA <=50;17.5;SANTIAGO DEL ESTERO;Río Hondo;;Interconectado MEM;Si;SPT-PAH-23;;cammesa;"{""type"":""Point"",""coordinates"":[-64.8858384223996,-27.5233347231574]}";-648.858.384.223.996;-275.233.347.231.574
CHILECITO ENARS;CHLE;Térmica;CT CHILECITO - SECCO;DI;MOTOR DIESEL;10;LA RIOJA;Chilecito;CHILECITO;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-67.5074087926456,-29.1572516726037]}";-675.074.087.926.456;-291.572.516.726.037
LA RIOJA DELIV;LRID;Térmica;CT LA RIOJA - SECCO;DI;MOTOR DIESEL;19.2;LA RIOJA;Capital;LA RIOJA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-66.8327760492731,-29.3813665161374]}";-668.327.760.492.731;-293.813.665.161.374
L.RIOJA SUR ENA;LRIS;Térmica;CT LA RIOJA SUR- SECCO;DI;MOTOR DIESEL;10;LA RIOJA;Capital;LA RIOJA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-66.8335365898047,-29.4388323691241]}";-668.335.365.898.047;-294.388.323.691.241
